,Date,Symbol,Company,Sector,PClose,Open,High,Low,Close,Change,Deals,Volume,Value,VWAP
9432,2025-02-25,FIDELITYBK,,,18.2,18.2,18.35,17.8,18,-0.2,448,14665562,264614686.15,18.04
9607,2025-02-26,NSLTECH,,,0.65,0.65,0.63,0.62,0.62,-0.3,67,6114995,3775329.6,0.62
9604,2025-02-26,NIDF,,,111.7,111.7,111.7,111.7,111.7,0,14,18771,2095320.7,111.63
9605,2025-02-26,NNFM,,,72.55,72.55,72.55,72.55,72.55,0,21,27841,2001956.9,71.91
9606,2025-02-26,NPFMCRFBK,,,1.84,1.84,1.84,1.84,1.84,0,15,88500,159972.34,1.81
9608,2025-02-26,OANDO,,,52,52,52,47,48,-4,981,9568078,469117560.25,49.03
9615,2025-02-26,REGALINS,,,0.69,0.69,0.69,0.69,0.69,0,10,275892,185101,0.67
9610,2025-02-26,OMATEK,,,0.73,0.73,0.8,0.66,0.79,0.06,56,2887623,2160900.71,0.75
9611,2025-02-26,PRESCO,,,785,785,785,785,785,0,124,893054,638549796,715.02
9612,2025-02-26,PRESTIGE,,,1.2,1.2,1.2,1.16,1.2,0,23,1098726,1292925.16,1.18
9613,2025-02-26,PZ,,,29.5,29.5,29.5,29.5,29.5,0,166,4696012,144454411.75,30.76
9614,2025-02-26,REDSTAREX,,,7.33,7.33,7.33,7.33,7.33,0,17,176711,1166292.6,6.6
9609,2025-02-26,OKOMUOIL,,,536,536,540,540,540,4,118,1368402,738992585.8,540.04
9603,2025-02-26,NGXGROUP,,,32,32,31,31,31,-1,32,414869,12868828.35,31.02
9596,2025-02-26,NASCON,,,43,43,42,42,42,-1,81,3463265,145623959.5,42.05
9601,2025-02-26,NESTLE,,,975,975,975,975,975,0,59,15891,15637215.4,984.03
9600,2025-02-26,NEM,,,12.6,12.6,13.1,12.2,13.1,0.5,40,949110,11744518.65,12.37
9599,2025-02-26,NEIMETH,,,3.1,3.1,3.03,3.03,3.03,-0.7,35,666696,2006132,3.01
9598,2025-02-26,NCR,,,7.3,7.3,7.3,7.3,7.3,0,5,26700,178258.9,6.68
9597,2025-02-26,NB,,,33.65,33.65,35.05,34,35.05,1.4,103,1660607,57195700.25,34.44
9595,2025-02-26,NAHCO,,,64.95,64.95,64.95,64.95,64.95,0,90,915481,55587642.4,60.72
9594,2025-02-26,MULTIVERSE,,,10.8,10.8,10.8,10.8,10.8,0,3,7155,69761.25,9.75
9593,2025-02-26,MTNN,,,264.2,264.2,264.2,264.2,264.2,0,359,273183,65351748.9,239.22
9592,2025-02-26,MRS,,,185,185,185,185,185,0,49,55149,9844390.5,178.51
9591,2025-02-26,MORISON,,,3.25,3.25,3.25,3.25,3.25,0,2,265,946.05,3.57
9590,2025-02-26,MEYER,,,9.25,9.25,9.25,9.25,9.25,0,1,400,3520,8.8
9589,2025-02-26,MECURE,,,12.55,12.55,12.55,12.55,12.55,0,6,3953,44668.9,11.3
9588,2025-02-26,MCNICHOLS,,,1.66,1.66,1.7,1.68,1.7,0.04,15,975452,1646628.36,1.69
9616,2025-02-26,ROYALEX,,,0.79,0.79,0.84,0.78,0.84,0.05,26,2356006,1906837.35,0.81
9602,2025-02-26,NEWGOLD,,,39000,39000,40000,40000,40000,1000,3,46,1840000,40000
9617,2025-02-26,RTBRISCOE,,,2.47,2.47,2.47,2.47,2.47,0,27,312414,781101.98,2.5
9633,2025-02-26,UACN,,,35.25,35.25,35.25,35.25,35.25,0,83,5411603,190770803.9,35.25
9619,2025-02-26,SEPLAT,,,5700,5700,5700,5700,5700,0,40,98409,504838170,5130
9649,2025-02-26,ZENITHBANK,,,48,48,48,47.95,48,0,597,26786229,1285576552.5,47.99
9648,2025-02-26,WEMABANK,,,12,12,12,12,12,0,119,2344473,27103325.55,11.56
9647,2025-02-26,WAPIC,,,2.55,2.55,2.7,2.54,2.7,0.15,51,2329922,6121917.78,2.63
9646,2025-02-26,WAPCO,,,77.5,77.5,77.5,77.5,77.5,0,94,1311832,100157978.7,76.35
9645,2025-02-26,VITAFOAM,,,39.6,39.6,39.7,39.7,39.7,0.1,47,321739,12755853.2,39.65
9644,2025-02-26,VFDGROUP,,,52.4,52.4,52.4,52.4,52.4,0,5,6243,323188,51.77
9643,2025-02-26,VETINDETF,,,37.35,37.35,41.08,41.08,41.08,3.73,1,3,123.24,41.08
9642,2025-02-26,VETBANK,,,13.31,13.31,13.7,13.7,13.7,0.39,2,3020,41374,13.7
9641,2025-02-26,VERITASKAP,,,1.1,1.1,1.17,1.14,1.14,0.04,62,1727470,1997569.87,1.16
9640,2025-02-26,UPL,,,4.55,4.55,4.55,4.55,4.55,0,13,20073,99520.7,4.96
9639,2025-02-26,UPDC,,,2.81,2.81,2.81,2.8,2.81,0,63,1112988,3119953.92,2.8
9638,2025-02-26,UNIVINSURE,,,0.64,0.64,0.65,0.64,0.65,0.01,38,855558,556014.95,0.65
9637,2025-02-26,UNIONDICON,,,6,6,5.55,5.55,5.55,-0.45,9,255096,1392518.6,5.46
9636,2025-02-26,UNILEVER,,,39.45,39.45,39.45,39.45,39.45,0,31,274861,10617409.95,38.63
9635,2025-02-26,UCAP,,,21,21,22.05,20.9,22,1,350,7576652,165659018.45,21.86
9634,2025-02-26,UBA,,,36.6,36.6,37.05,36.8,36.9,0.3,437,8529260,314748149.75,36.9
9632,2025-02-26,TRIPPLEG,,,2.23,2.23,2.23,2.23,2.23,0,1,2000,4400,2.2
9631,2025-02-26,TRANSPOWER,,,364.9,364.9,364.9,364.9,364.9,0,182,2083303,684405753.9,328.52
